interaction_id,client_id,contact_name,employee_id,employee_name,interaction_type,interaction_date,interaction_duration_minutes,meeting_channel,interaction_outcome,followup_required,next_followup_date,response_time_hours
INT0115,CLT011,Charles Maldonado,EMP083,Dr. Mark Harris DVM,Social Media,26-11-2025,92,Phone,Neutral,Yes,03-12-2025,69.6
INT0116,CLT028,Tim Adams,EMP014,Jenna Velazquez,Call,11-09-2025,43,Teams,Negative,Yes,18-09-2025,54
INT0117,CLT036,Joshua Pope,EMP075,Anita Ryan,Email,30-10-2025,57,Phone,Neutral,Yes,06-11-2025,55.8
INT0118,CLT038,William Webb,EMP089,Steven Morales,Demo,22-02-2026,13,Phone,Positive,Yes,01-03-2026,22
INT0119,CLT006,Cheryl Patton,EMP015,Rhonda Bennett,Demo,30-07-2025,49,In-person,Neutral,Yes,06-08-2025,56.7
INT0120,CLT034,Amber Kim,EMP062,Micheal Hansen DVM,Email,21-02-2026,22,Phone,Negative,No,,50.5
INT0121,CLT021,Lisa Wright,EMP009,Ryan Torres,Call,29-05-2025,113,Zoom,Positive,No,,61.3
INT0122,CLT007,Katherine Johnson,EMP087,Joshua Doyle,Meeting,15-07-2025,76,Teams,Negative,Yes,22-07-2025,12.4
INT0123,CLT036,Robert Goodwin,EMP055,Michael Scott,Meeting,31-10-2025,112,Phone,Negative,No,,14.1
INT0124,CLT028,Ivan Evans,EMP051,Ryan Hall,Social Media,04-04-2026,35,Phone,Negative,Yes,11-04-2026,31.5
INT0125,CLT001,John Harris DDS,EMP091,Alexandra Kirk,Meeting,19-01-2026,45,Zoom,Negative,Yes,26-01-2026,8.2
INT0126,CLT035,Sarah Dunlap,EMP024,Jacqueline Gutierrez,Demo,19-09-2025,35,Phone,Positive,No,,19.6
INT0127,CLT032,Connor Simmons,EMP068,Rebecca Harrison,Social Media,09-02-2026,59,Phone,Negative,No,,9.1
INT0128,CLT023,Brittany Moreno,EMP059,David Figueroa,Demo,12-07-2025,88,Zoom,Negative,Yes,19-07-2025,10.5
INT0129,CLT008,Jason Cunningham,EMP031,Jose Carroll,Call,05-04-2026,33,In-person,Negative,No,,11
INT0130,CLT025,Sherry Snyder,EMP054,Deborah Martinez,Social Media,20-01-2026,59,Phone,Positive,Yes,27-01-2026,35.6
INT0131,CLT035,Amy Smith,EMP089,Steven Morales,Social Media,15-04-2026,31,Phone,Neutral,Yes,22-04-2026,11
INT0132,CLT021,Gina Munoz,EMP058,Michael Hernandez,Demo,10-06-2025,11,Phone,Positive,Yes,17-06-2025,14.9
INT0133,CLT025,John Wilson,EMP072,Kelsey Larson,Email,19-04-2026,97,Phone,Neutral,No,,51.4
INT0134,CLT029,Kevin Chang,EMP063,Edward Odonnell,Call,24-10-2025,82,Zoom,Positive,Yes,31-10-2025,21.7
INT0135,CLT018,Kimberly Blake,EMP029,Jose Smith,Meeting,06-06-2025,109,Phone,Negative,No,,53.7
INT0136,CLT032,Andrew Hull,EMP071,Paul Bailey,Social Media,02-06-2025,24,In-person,Negative,Yes,09-06-2025,59.5
INT0137,CLT024,Michael Boyd,EMP070,Anita Callahan,Email,26-11-2025,79,Teams,Neutral,Yes,03-12-2025,8.3
INT0138,CLT016,Brittany Barrett,EMP039,Gloria Colon,Email,06-11-2025,43,In-person,Positive,Yes,13-11-2025,32.2
INT0139,CLT008,Penny Hoffman,EMP100,Michael Hurley,Meeting,31-10-2025,113,In-person,Negative,Yes,07-11-2025,44.3
INT0140,CLT028,Cheryl Miller,EMP022,Lucas Franklin,Meeting,14-06-2025,114,Teams,Positive,Yes,21-06-2025,41.5
INT0141,CLT035,Mary Zimmerman,EMP036,Deanna Marsh,Demo,30-01-2026,100,In-person,Neutral,Yes,06-02-2026,41.7
INT0142,CLT033,Melissa Schwartz,EMP087,Joshua Doyle,Meeting,07-05-2026,106,Phone,Positive,Yes,14-05-2026,71.5
INT0143,CLT009,Mario Price,EMP090,Monica Bailey,Meeting,29-05-2025,28,In-person,Positive,Yes,05-06-2025,55.1
INT0144,CLT026,Christopher Smith,EMP063,Edward Odonnell,Social Media,06-02-2026,90,In-person,Negative,Yes,13-02-2026,30.4
INT0145,CLT029,Sara Ewing,EMP010,Sandra Sanders,Email,07-03-2026,75,In-person,Negative,Yes,14-03-2026,67.5
INT0146,CLT024,Michele Jones,EMP059,David Figueroa,Demo,06-07-2025,84,Zoom,Negative,No,,7.6
INT0147,CLT030,Benjamin Rice,EMP082,Jeffrey Mccormick,Call,18-01-2026,111,Phone,Positive,No,,69.7
INT0148,CLT014,Christine Gross,EMP064,Brian Martinez,Demo,19-10-2025,116,In-person,Neutral,No,,39.9
INT0149,CLT009,Laura Hall,EMP073,William Moran,Demo,21-07-2025,97,Zoom,Positive,No,,8.1
INT0150,CLT030,Brandi Mays,EMP003,Adrian Fernandez,Meeting,05-10-2025,66,Phone,Positive,Yes,12-10-2025,71.4
INT0151,CLT028,Daniel Rangel,EMP026,Jennifer Gonzales,Demo,06-03-2026,30,In-person,Positive,Yes,13-03-2026,47.5
INT0152,CLT017,Kerry Rios,EMP011,Joshua Sanchez DVM,Meeting,28-04-2026,16,Phone,Negative,No,,22.7
INT0153,CLT015,Jose Jones,EMP055,Michael Scott,Call,23-06-2025,10,Teams,Neutral,Yes,30-06-2025,6.5
INT0154,CLT038,Ralph Green,EMP029,Jose Smith,Call,04-11-2025,11,In-person,Positive,No,,71.2
INT0155,CLT028,Justin Davis,EMP089,Steven Morales,Email,03-06-2025,19,Teams,Neutral,Yes,10-06-2025,7.3
INT0156,CLT007,Michelle Davis,EMP014,Jenna Velazquez,Demo,25-10-2025,48,Teams,Neutral,No,,55.9
INT0157,CLT009,Leroy Wilson,EMP083,Dr. Mark Harris DVM,Call,02-05-2026,77,Zoom,Negative,Yes,09-05-2026,47.2
INT0158,CLT029,Kathy Thompson,EMP045,William Jones,Meeting,16-04-2026,62,Phone,Positive,Yes,23-04-2026,7.2
INT0159,CLT007,Samantha Rodriguez,EMP018,Micheal Oconnor,Social Media,13-08-2025,103,Phone,Neutral,Yes,20-08-2025,69.4
INT0160,CLT021,Richard Dillon,EMP018,Micheal Oconnor,Demo,24-05-2025,92,Zoom,Positive,Yes,31-05-2025,40.3
INT0161,CLT039,Erin Savage,EMP093,Christopher Douglas,Call,26-04-2026,118,In-person,Positive,No,,37.8
INT0162,CLT033,Cheryl Donaldson,EMP025,Leslie Novak,Demo,05-11-2025,92,Zoom,Positive,No,,36.1
INT0163,CLT008,Frank Howard,EMP031,Jose Carroll,Social Media,08-07-2025,19,Zoom,Neutral,No,,67.3
INT0164,CLT009,Derek Lester,EMP050,Lauren Crosby,Demo,24-04-2026,79,Teams,Neutral,No,,68.8
INT0165,CLT005,Steven Kim,EMP003,Adrian Fernandez,Call,17-05-2026,43,Teams,Positive,Yes,24-05-2026,66.5
INT0166,CLT026,George Anderson,EMP065,Brent Allen,Social Media,19-02-2026,108,Phone,Neutral,No,,50.8
INT0167,CLT006,Philip Sullivan,EMP082,Jeffrey Mccormick,Demo,17-11-2025,20,In-person,Positive,Yes,24-11-2025,37.3
INT0168,CLT014,Charles Wheeler,EMP020,Lisa Hughes,Email,18-06-2025,85,Zoom,Neutral,No,,50.6
INT0169,CLT016,Dawn Bolton,EMP008,Brian Tate,Call,19-10-2025,65,Zoom,Neutral,Yes,26-10-2025,44.5
INT0170,CLT004,Christopher Christensen,EMP040,Amy Hubbard,Call,29-12-2025,11,Teams,Negative,Yes,05-01-2026,1.8
INT0171,CLT032,Tyler Rivera,EMP045,William Jones,Meeting,28-05-2025,57,Teams,Negative,No,,56.5
INT0172,CLT018,Anita Hurley,EMP094,Russell Sims,Call,15-10-2025,52,Phone,Neutral,Yes,22-10-2025,38.2
INT0173,CLT017,Abigail Nelson,EMP092,Natalie Johnson,Email,18-01-2026,68,In-person,Positive,Yes,25-01-2026,36.5
INT0174,CLT037,Gary Foster,EMP022,Lucas Franklin,Meeting,17-03-2026,42,Zoom,Negative,No,,48.9
INT0175,CLT008,Susan Gardner,EMP030,John Valencia,Call,25-05-2025,119,Zoom,Positive,Yes,01-06-2025,4.3
INT0176,CLT024,Paul Mccoy,EMP050,Lauren Crosby,Meeting,12-09-2025,119,Zoom,Negative,Yes,19-09-2025,58
INT0177,CLT027,Evan Frazier,EMP029,Jose Smith,Meeting,25-08-2025,63,In-person,Neutral,No,,59.6
INT0178,CLT037,Claudia Smith,EMP048,Sherri Thompson,Social Media,16-08-2025,96,Zoom,Positive,Yes,23-08-2025,16.8
INT0179,CLT034,Kevin Anderson,EMP006,Donna Carlson,Call,17-09-2025,69,In-person,Neutral,No,,24.2
INT0180,CLT036,Tyler Morton,EMP059,David Figueroa,Demo,12-11-2025,35,In-person,Negative,Yes,19-11-2025,56.7
INT0181,CLT040,Loretta Aguilar,EMP032,Kenneth Rasmussen,Demo,26-06-2025,85,Phone,Positive,No,,53
INT0182,CLT035,James Johnson,EMP098,Chelsea Munoz,Meeting,01-06-2025,10,Phone,Positive,Yes,08-06-2025,17.5
INT0183,CLT023,Mr. Jeremy Thomas,EMP082,Jeffrey Mccormick,Demo,04-11-2025,10,Phone,Negative,Yes,11-11-2025,52.6
INT0184,CLT007,Ronald Ramos Jr.,EMP027,Ann Ramirez,Email,19-10-2025,72,Zoom,Positive,Yes,26-10-2025,51.5
INT0185,CLT006,Connor Hale,EMP006,Donna Carlson,Social Media,12-11-2025,62,In-person,Neutral,Yes,19-11-2025,70.2
INT0186,CLT006,Donna Buchanan,EMP075,Anita Ryan,Social Media,24-11-2025,27,Phone,Positive,Yes,01-12-2025,43
INT0187,CLT004,Ricky Long,EMP056,David Martinez,Meeting,09-10-2025,47,In-person,Neutral,Yes,16-10-2025,66.7
INT0188,CLT026,Dr. Lori Jones DDS,EMP090,Monica Bailey,Demo,30-12-2025,67,In-person,Positive,No,,6.3
INT0189,CLT013,Benjamin Carrillo,EMP018,Micheal Oconnor,Meeting,08-08-2025,23,Teams,Neutral,Yes,15-08-2025,34.1
INT0190,CLT027,Megan Parks,EMP016,Nicholas Santos,Meeting,16-09-2025,67,In-person,Neutral,No,,19.8
INT0191,CLT008,Ryan Nelson,EMP012,James Gregory,Demo,27-01-2026,115,Zoom,Positive,Yes,03-02-2026,60.4
INT0192,CLT021,Judith Young,EMP019,Oscar Webb,Meeting,19-08-2025,55,Phone,Negative,Yes,26-08-2025,4.5
INT0193,CLT020,Natasha Ibarra,EMP034,Karen Buckley,Call,01-12-2025,61,Phone,Negative,Yes,08-12-2025,54.1
INT0194,CLT016,Ronald Jones,EMP013,Anthony Cole,Call,04-11-2025,112,Teams,Positive,No,,1.8
INT0195,CLT015,Dustin Christian,EMP017,Monique Brown,Email,10-04-2026,57,Zoom,Negative,Yes,17-04-2026,42.6
INT0196,CLT005,Colleen Miller,EMP003,Adrian Fernandez,Meeting,21-05-2026,92,Phone,Positive,Yes,28-05-2026,7.5
INT0197,CLT022,Alexis Lara,EMP016,Nicholas Santos,Email,18-01-2026,16,Teams,Negative,Yes,25-01-2026,31.8
INT0198,CLT026,Brianna Lamb,EMP064,Brian Martinez,Email,01-12-2025,97,Phone,Positive,Yes,08-12-2025,26.1
INT0199,CLT012,Kenneth Jennings,EMP036,Deanna Marsh,Email,11-06-2025,29,Zoom,Negative,No,,45
INT0200,CLT016,Casey Bennett,EMP083,Dr. Mark Harris DVM,Email,01-12-2025,62,Phone,Positive,No,,7.2
INT0201,CLT025,Sarah Miller,EMP018,Micheal Oconnor,Meeting,19-12-2025,92,Teams,Negative,No,,71.6
INT0202,CLT035,Brianna Stevenson,EMP003,Adrian Fernandez,Demo,11-05-2026,71,Phone,Neutral,No,,65.8
INT0203,CLT033,Shelly Daugherty,EMP042,Stephanie Johnson,Demo,23-08-2025,33,Zoom,Neutral,No,,43.4
INT0204,CLT002,Lacey Thompson,EMP100,Michael Hurley,Call,26-01-2026,113,Phone,Negative,No,,26.4
INT0205,CLT038,Denise Reid,EMP030,John Valencia,Call,24-12-2025,41,Teams,Neutral,Yes,31-12-2025,38.9
INT0206,CLT004,Justin Newton,EMP098,Chelsea Munoz,Social Media,06-06-2025,118,Phone,Neutral,Yes,13-06-2025,67.4
INT0207,CLT012,Evan Cox,EMP023,Jordan Olson,Social Media,16-10-2025,50,In-person,Negative,Yes,23-10-2025,3
INT0208,CLT023,Michael Downs,EMP073,William Moran,Social Media,17-04-2026,34,Phone,Negative,Yes,24-04-2026,22.9
INT0209,CLT032,James Moore,EMP005,Willie Harris,Call,08-05-2026,39,Teams,Positive,Yes,15-05-2026,38.4
INT0210,CLT001,Joshua Gibson,EMP043,Matthew Morris,Meeting,05-06-2025,53,Teams,Neutral,Yes,12-06-2025,5.2
INT0211,CLT010,Dana Malone,EMP076,Olivia Walton,Call,29-06-2025,118,In-person,Positive,Yes,06-07-2025,27.5
INT0212,CLT026,Kristy Phillips,EMP076,Olivia Walton,Demo,03-06-2025,48,In-person,Positive,Yes,10-06-2025,70.3
INT0213,CLT028,Alison Myers,EMP082,Jeffrey Mccormick,Demo,18-02-2026,32,In-person,Positive,No,,48.3
