collection_id,invoice_id,client_id,project_id,payment_date,payment_amount,payment_mode,payment_status,outstanding_amount,collection_days,collector_name,remarks
COL00112,INV00112,CLT037,PRJ013,12-01-2026,1247846.98,UPI,Partial,563483,93,Seth Hoffman,Black maintain inside young occur.
COL00113,INV00113,CLT027,PRJ016,27-05-2026,2169129.76,Bank Transfer,Pending,350755,15,Robert Green,Similar detail word remember note.
COL00114,INV00114,CLT003,PRJ015,12-11-2025,1883262,UPI,Paid,107391,99,Joseph Johnson,Much could maybe TV yet job think.
COL00115,INV00115,CLT023,PRJ018,21-03-2026,4569518,Credit Card,Paid,678750,95,Madison Burton,Us development lead first middle office common green.
COL00116,INV00116,CLT018,PRJ014,08-01-2026,2556441.42,Credit Card,Pending,1328813,106,Justin Smith,Service husband science hit.
COL00117,INV00117,CLT014,PRJ016,07-07-2025,1436135.85,Wire Transfer,Pending,708323,75,Ryan Woodard,Seek large certainly beat.
COL00118,INV00118,CLT018,PRJ003,01-08-2025,1250045.74,UPI,Overdue,172848,52,Scott Stokes,None challenge peace.
COL00119,INV00119,CLT001,PRJ011,23-06-2025,1061613,Bank Transfer,Paid,363872,21,Elizabeth Bailey,Kid partner table beat environment.
COL00120,INV00120,CLT010,PRJ014,10-11-2025,2168953.14,Bank Transfer,Overdue,181797,119,David Hernandez,Clearly finally enough see degree off.
COL00121,INV00121,CLT026,PRJ010,23-04-2026,507759,UPI,Paid,129731,54,Dana Scott,Full view home discussion culture.
COL00122,INV00122,CLT017,PRJ007,25-02-2026,438642.28,Credit Card,Overdue,104326,69,Tyler Wright,Address represent example.
COL00123,INV00123,CLT005,PRJ010,17-05-2026,3719898,Credit Card,Paid,121437,36,Laura Scott,Manager much father strategy suddenly.
COL00124,INV00124,CLT011,PRJ012,20-02-2026,1267058.07,Credit Card,Pending,123791,103,Steve Washington,Building get candidate available hand Mr well.
COL00125,INV00125,CLT008,PRJ008,19-07-2025,2194266.69,Credit Card,Pending,92354,114,Steven Harris,In why also local.
COL00126,INV00126,CLT004,PRJ006,08-06-2026,2931411.55,Wire Transfer,Pending,840800,13,Antonio Beck,News system article general coach tell race.
COL00127,INV00127,CLT035,PRJ008,28-08-2025,103501,Wire Transfer,Paid,1566,34,Jason Trevino,Speak test themselves offer billion official.
COL00128,INV00128,CLT015,PRJ017,07-03-2026,2303099.89,Credit Card,Overdue,178053,79,Wesley Estrada,Same address tough learn final here protect.
COL00129,INV00129,CLT013,PRJ005,02-09-2025,4954886,Credit Card,Paid,325919,18,Samuel Floyd,Middle end agent.
COL00130,INV00130,CLT006,PRJ008,12-06-2026,3373939,Bank Transfer,Paid,102656,91,Beth Moses,Worker big weight build.
COL00131,INV00131,CLT006,PRJ019,26-11-2025,1578884,Wire Transfer,Overdue,78629,7,Melissa Cook,Yeah our tough cup.
COL00132,INV00132,CLT014,PRJ006,26-11-2025,1221853.61,UPI,Pending,926336,24,Austin Pope,Everyone relationship identify.
COL00133,INV00133,CLT031,PRJ018,04-09-2025,3239082.14,UPI,Pending,1186256,69,Kimberly Mendez,Quickly sea lawyer prepare.
COL00134,INV00134,CLT015,PRJ019,07-11-2025,2376529.32,Credit Card,Pending,364300,27,Susan Gilbert,Thousand meet above try group relationship bill.
COL00135,INV00135,CLT039,PRJ008,12-01-2026,3069077.21,Credit Card,Pending,1433,47,Meghan Lopez,End however back public cover professor finally.
COL00136,INV00136,CLT007,PRJ011,13-07-2025,1838372.47,UPI,Pending,330309,98,Sarah Barron,Budget consider staff late provide development that.
COL00137,INV00137,CLT037,PRJ002,16-10-2025,1100926.1,Credit Card,Pending,218334,68,Lori Tate,Still cut technology right.
COL00138,INV00138,CLT029,PRJ014,08-09-2025,1187618.84,Wire Transfer,Partial,794217,49,Monica Holden,Thank phone bed our left.
COL00139,INV00139,CLT039,PRJ020,27-11-2025,2583903.6,UPI,Overdue,64997,60,Leah Johnson,Standard cultural large rich summer course happy.
COL00140,INV00140,CLT032,PRJ005,06-01-2026,1397434.49,Wire Transfer,Overdue,896754,16,Ronald Russell,Herself set about keep nor.
COL00141,INV00141,CLT025,PRJ006,13-10-2025,2288147.71,UPI,Partial,391292,62,Ashley Melton,Point whatever still style lay choose.
COL00142,INV00142,CLT035,PRJ016,25-07-2025,687427.46,UPI,Partial,313369,15,Christopher Smith MD,Right officer rate interesting ahead.
COL00143,INV00143,CLT005,PRJ003,26-10-2025,4717121,Bank Transfer,Paid,1157741,46,Sean Lewis,Power woman almost almost.
COL00144,INV00144,CLT032,PRJ019,16-11-2025,1884267.68,Credit Card,Overdue,361129,40,Matthew Reeves,Late clearly practice deep.
COL00145,INV00145,CLT015,PRJ005,28-07-2025,1253716.52,Wire Transfer,Overdue,565014,98,Stacey Rivera,Century him reveal quality resource artist.
COL00146,INV00146,CLT013,PRJ002,18-12-2025,195476.88,Wire Transfer,Overdue,6626,51,Jamie Hunter,Challenge industry sound deal mean.
COL00147,INV00147,CLT017,PRJ003,01-03-2026,150519.15,UPI,Partial,6507,25,Tracy Daugherty,Doctor space safe day.
COL00148,INV00148,CLT020,PRJ009,04-05-2026,2060265.46,Bank Transfer,Overdue,962588,37,Corey Johnson,Government book true family standard.
COL00149,INV00149,CLT020,PRJ007,15-04-2026,1886171.24,Wire Transfer,Overdue,503949,120,Rebecca Vasquez,Purpose window discussion send pull program successful.
COL00150,INV00150,CLT013,PRJ011,31-05-2026,1269076.25,UPI,Pending,560605,86,Ryan James,Body hard whose spring authority.
COL00151,INV00151,CLT020,PRJ014,08-12-2025,2829289,Credit Card,Paid,546432,79,Michael Wilcox,Business body those many.
COL00152,INV00152,CLT022,PRJ014,30-09-2025,2286913.82,Wire Transfer,Pending,663504,115,Diane Hall,Be them size loss college.
COL00153,INV00153,CLT026,PRJ014,21-01-2026,1489214.53,Wire Transfer,Pending,79115,73,Breanna Holt,Senior protect recognize deal.
COL00154,INV00154,CLT003,PRJ010,05-05-2026,2571115.54,UPI,Partial,1091123,81,Gary Lewis,Clearly through ok democratic edge.
COL00155,INV00155,CLT003,PRJ013,22-09-2025,2195715,UPI,Paid,560708,84,Susan Hudson,Family song support anything.
COL00156,INV00156,CLT027,PRJ004,05-07-2026,4414670,UPI,Paid,1306101,82,Luis Mitchell,Doctor likely time most two politics.
COL00157,INV00157,CLT036,PRJ016,08-07-2026,1792263,Credit Card,Paid,346663,35,Christopher Lopez,Grow option reason well fill toward now.
COL00158,INV00158,CLT003,PRJ010,11-12-2025,1299995.58,UPI,Partial,243062,17,Dr. Olivia Brown,North friend tough them.
COL00159,INV00159,CLT025,PRJ016,24-03-2026,2474089.72,UPI,Partial,349760,19,James Braun,Floor also sport Republican notice almost.
COL00160,INV00160,CLT005,PRJ009,29-10-2025,2686018,UPI,Paid,469730,90,John Ross,Green wide alone recently free.
COL00161,INV00161,CLT032,PRJ011,31-07-2025,2233287.8,Bank Transfer,Partial,105593,69,Matthew Lopez,Five music garden through thus.
COL00162,INV00162,CLT006,PRJ020,23-09-2025,1715047.2,Wire Transfer,Pending,533030,76,Debra Saunders MD,With this charge why during.
COL00163,INV00163,CLT022,PRJ012,04-01-2026,1019215.7,Credit Card,Overdue,547341,52,Grace Pierce,Forget unit front ever.
COL00164,INV00164,CLT008,PRJ015,10-01-2026,1756613.13,Wire Transfer,Overdue,282352,68,Michael Esparza,Shake part now rule yard general company.
COL00165,INV00165,CLT026,PRJ011,22-06-2026,2475919.4,UPI,Pending,289784,57,Angela Myers,Would through time response skin rest moment.
COL00166,INV00166,CLT008,PRJ012,30-08-2025,1631654.55,Credit Card,Pending,1196715,90,Jeffrey Ballard,Forward car firm play need so.
COL00167,INV00167,CLT019,PRJ007,25-10-2025,3503038.4,Wire Transfer,Partial,752211,109,Martin Silva,Loss rule book yard certainly natural.
COL00168,INV00168,CLT013,PRJ020,31-08-2025,1840400.42,Credit Card,Partial,1329150,95,Renee Mitchell,Hand far notice.
COL00169,INV00169,CLT017,PRJ001,20-03-2026,2219848.22,UPI,Pending,324651,10,Stephen Burke,How may question event.
COL00170,INV00170,CLT015,PRJ007,27-01-2026,2208987.97,Wire Transfer,Overdue,756647,42,Corey Adams,Interesting campaign accept talk phone cost party.
COL00171,INV00171,CLT002,PRJ017,10-10-2025,1295375.83,Wire Transfer,Partial,1066895,62,Amber Gonzalez,Audience fear agency nothing newspaper wait yet firm.
COL00172,INV00172,CLT028,PRJ003,03-05-2026,692016.24,Wire Transfer,Partial,481532,96,Ashley Flores,Matter sea exactly.
COL00173,INV00173,CLT005,PRJ019,03-12-2025,443704.24,Credit Card,Pending,55645,42,Tracy Brown,Its table party end might.
COL00174,INV00174,CLT024,PRJ001,15-06-2026,4706262,UPI,Paid,258442,10,David Garcia,Realize clear three management.
COL00175,INV00175,CLT012,PRJ019,03-02-2026,506242,Credit Card,Paid,143878,64,Bryan Wagner,Wide leader minute threat.
COL00176,INV00176,CLT040,PRJ010,22-10-2025,3167198.95,Wire Transfer,Partial,1186048,77,Matthew Howell,Modern writer all concern like.
COL00177,INV00177,CLT036,PRJ004,23-01-2026,737645,Credit Card,Paid,73401,119,Peter Barnes,Bad military manager.
COL00178,INV00178,CLT026,PRJ008,27-03-2026,1896510.65,Wire Transfer,Overdue,1797603,42,Kaylee Mcfarland,Movement small those pass radio available.
COL00179,INV00179,CLT005,PRJ009,02-06-2026,1186345.58,Wire Transfer,Overdue,701062,31,Emily Miller,Debate three at.
COL00180,INV00180,CLT017,PRJ013,25-09-2025,778980.95,UPI,Overdue,425556,50,Ashlee Moyer,Eat want successful hold long training while position.
COL00181,INV00181,CLT015,PRJ014,06-08-2025,2102118.64,Bank Transfer,Overdue,1009813,91,Tamara Parker,Blue follow especially issue research tonight.
COL00182,INV00182,CLT037,PRJ001,23-04-2026,931933.15,Wire Transfer,Partial,227114,62,Ronald Keller,Enough citizen their form myself TV strategy born.
COL00183,INV00183,CLT009,PRJ004,15-07-2026,1100345.18,Bank Transfer,Partial,528859,92,Tracy Knight,Including imagine usually represent indeed.
COL00184,INV00184,CLT034,PRJ014,09-12-2025,4094344,UPI,Paid,799510,49,Debra Lindsey,Floor note early health up.
COL00185,INV00185,CLT034,PRJ004,21-04-2026,110348,Wire Transfer,Paid,42896,31,Morgan Taylor,Society structure outside discussion.
COL00186,INV00186,CLT012,PRJ012,13-03-2026,3260709.41,Bank Transfer,Partial,532210,44,Christopher Schmitt,However very happy inside unit heavy.
COL00187,INV00187,CLT010,PRJ016,18-01-2026,1923246.35,Credit Card,Overdue,134386,38,Glenn House,Avoid notice because in.
COL00188,INV00188,CLT015,PRJ020,21-09-2025,202616.85,Credit Card,Overdue,62719,88,Jamie Miller,Group all tough someone.
COL00189,INV00189,CLT026,PRJ019,04-04-2026,1534587.93,Wire Transfer,Pending,426911,69,Terry Mclaughlin,Writer green short much choice together leave money.
COL00190,INV00190,CLT005,PRJ013,06-12-2025,1898700,UPI,Paid,735236,34,Charles Lane,Fast region property travel anyone exactly program.
COL00191,INV00191,CLT012,PRJ007,19-10-2025,1046879.64,Bank Transfer,Partial,253814,116,Amy Wallace,Office scene more special wide need dark.
COL00192,INV00192,CLT037,PRJ009,21-04-2026,725214.12,Bank Transfer,Overdue,293880,55,Jesse Wilson,Mouth exactly already necessary someone.
COL00193,INV00193,CLT040,PRJ009,03-09-2025,2443829.09,UPI,Partial,497316,39,Crystal Roman,Page might carry boy teach such difficult.
COL00194,INV00194,CLT028,PRJ013,08-02-2026,635694.97,Bank Transfer,Overdue,502869,99,Katie Johnson,Recognize lot fire get.
COL00195,INV00195,CLT029,PRJ011,13-10-2025,2430629.98,Credit Card,Overdue,1175139,76,Kevin Peters,After official indicate decade voice never.
COL00196,INV00196,CLT006,PRJ013,14-09-2025,1120629.19,Credit Card,Pending,662398,23,Rachel Thomas,Difference film traditional three.
COL00197,INV00197,CLT024,PRJ019,29-12-2025,2197697.36,Wire Transfer,Pending,350891,28,Mrs. Mary Clayton,Step region any they.
COL00198,INV00198,CLT006,PRJ013,20-03-2026,1133600.98,UPI,Partial,773422,41,Kim Parsons,Draw hospital buy star model.
COL00199,INV00199,CLT037,PRJ014,23-05-2026,2136816.23,Bank Transfer,Pending,728064,66,Nicholas Clark,Remain on result effort.
COL00200,INV00200,CLT019,PRJ020,26-01-2026,61719.5,Credit Card,Partial,24487,29,Peter Price,Thus detail trial agent.
